title,author,genre,status
Pachinko, Min Jin Lee, historical fiction, unread
Four Dead Queens, Astrid Scholte, fantasy fiction, read
ShadowSpell Academy The Culling Trials, K.F. Breene and Shannon Mayer, fantasy fiction,read
Call Me By Your Name,Andre Aciman, romance drama, read
They Both Die at the End, Adam Silvera, adventure fiction, unread
Red White and Royal Blue, Casey McQuiston, romance fiction, read
No Longer Human, Osamu Dazai, autobiographical novel, read
Frankenstein, Mary Shelley, gothic fiction, unread
Strange Case of Dr. Jekyll and Mr Hyde, Robert Louis Stevenson, gothic fiction, read
Fight Club, Chuck Palahniuk, action drama, read
Less, Andrew Greer, satire humorous fiction, unread
Not Even Bones, Rebecca Schaeffer, fantasy fiction, unread
The Fever King, Victoria Lee, dystopian fantasy fiction, read
The Queen's Gambit, Walter Tevis, psychological thriller, unread
Haikyu Vol 1, Haruichi Furudate, sports manga, read
SpyXFamily Vol 1, Tatsuya Endo, spy action comedy, read
Chainsaw Man Vol 1, Tatsuki Fujimoto, dark action comedy fantasy, unread
The Boy, the Mole, the Fox and the Horse, Charlie Mackesy
The Te of Piglet, Benjamin Hoff, humor, unread
My Jasper June, Laurel Snyder, fiction, read
The Amulet of Samarkand,Jonathan Stroud,fantasy ,unread
